day,district_actual_energy,district_predicted_energy,district_stress_index
2018-07-22,112648.848,114163.45433520823,0.9149379329389883
2018-07-23,127734.96,124446.15206472931,0.9973463556734692
2018-07-24,132807.084,127329.94328648373,1.0204578671008688
2018-07-25,138003.456,135233.56697489225,1.083799723409521
2018-07-26,131239.956,135556.2218450956,1.0863855700074152
2018-07-27,126580.65599999999,126817.47110901936,1.0163507713803657
2018-07-28,118951.428,118751.25029860726,0.9517058161459317
2018-07-29,124358.22,125673.41373560866,1.0071819748115571
2018-07-30,149253.912,150029.55133718575,1.2023788906838897
2018-07-31,150502.404,150996.75400356,1.2101303240428276
2018-08-01,151225.848,155744.95633051265,1.248183748823076
2018-08-02,149275.956,145159.93257507845,1.1633524005487772
2018-08-03,152937.26400000002,148738.1257462993,1.192029043900165
2018-08-04,138139.728,125227.67979380331,1.003609738024129
2018-08-05,131380.236,126963.83287663985,1.017523755623947
2018-08-06,149448.3,142328.55946300772,1.1406609825497154
2018-08-07,147406.22400000002,148779.1147540285,1.1923575413008731
2018-08-08,146532.48,138504.00681104744,1.110009945243798
2018-08-09,150546.492,146826.24054040504,1.1767066597932392
2018-08-10,142109.652,135746.12417484564,1.0879075005240904
2018-08-11,43755.336,89581.5014416679,0.7179312700012928
2018-08-12,111274.104,111588.78571366248,0.894303816703479
2018-08-13,129536.556,123181.75182695306,0.9872130976471151
2018-08-14,121386.288,123661.4126884772,0.9910572342818217
2018-08-15,110336.232,101423.94783300326,0.8128399558440931
2018-08-16,121991.496,119076.62990780099,0.9543134995660749
2018-08-17,122941.392,119706.53082014956,0.9593617020933775
2018-08-18,119590.70400000001,119250.41539496901,0.9557062651873519
2018-08-19,119105.73599999999,115233.19702122793,0.9235111507662069
2018-08-20,139183.812,137903.70432489095,1.105198952802999
2018-08-21,137077.608,137368.26808581097,1.1009078166538946
2018-08-22,142219.872,140466.75156851727,1.1257399320573842
2018-08-23,140135.712,136945.91293927265,1.0975229440868357
2018-08-24,132833.136,147322.84293553297,1.1806865706284249
2018-08-25,107336.244,127577.6911325349,1.0224433878042858
2018-08-26,94352.32800000001,100804.84268150394,0.8078782735712225
2018-08-27,109682.928,114373.63782722734,0.9166224023766528
2018-08-28,124330.16400000002,126898.9769065509,1.0170039816949126
2018-08-29,125748.996,131441.32153176924,1.0534076051337322
2018-08-30,125907.312,135329.8061632787,1.0845710112494236
2018-08-31,120398.31599999999,124002.5679196874,0.9937913479600771
2018-09-01,99051.708,97651.11635982379,0.7826034265668478
2018-09-02,97997.604,98880.1392020229,0.7924531602257009
