day,load_before,load_after,shift_out,shift_in,charge,discharge,curtail,soc,excess,overload_mass,violation_activation,stress_slack
2020-07-04,105719.86922850746,108919.7841460812,7179.531585522874,10379.452174131715,0.0,0.005671035103873392,0.0,5597.428303089643,2859.122245660355,2.304066241202787e-05,9.63399054288803e-09,0.0
2020-07-05,108894.60314165876,108919.78372449885,8766.77919614971,8791.965025487276,0.0,0.005246497487593715,0.0,5597.419284255686,2859.1222065588117,2.3043116351729893e-05,9.634726767068233e-09,0.0
2020-07-06,125315.33410428128,109069.69142590338,15037.83484042928,0.005179318775826309,0.001973119148005367,1207.8149903865444,0.0,4326.03692223308,3009.0386439821473,2.307951922262105e-05,9.645854691134825e-09,0.0
2020-07-07,110493.94694447707,108919.78249173689,9566.391972066232,7992.231618307916,0.0,0.004098981850557943,0.0,4326.030151311615,2859.122102326597,2.3044223534785668e-05,9.635047049733492e-09,0.0
2020-07-08,111110.59755861749,108919.78179393958,9874.69469840344,7683.882390561269,0.0,0.0034568357432820268,0.0,4326.024638059685,2859.1220186943883,2.3046359129114948e-05,9.635763436621408e-09,0.0
2020-07-09,116070.34102502611,108919.7811985767,12354.379905654712,5203.8229586185325,0.0,0.002879413223710233,0.0,4326.020251776544,2859.121937480926,2.3051081864574842e-05,9.637203243892148e-09,0.0
2020-07-10,114109.36892642354,108919.78060100217,11373.968430271414,6184.382436076748,0.0,0.0023312266963060554,0.0,4326.016940209046,2859.1218508617294,2.3053764094825604e-05,9.63806153221128e-09,0.0
2020-07-11,103629.7217841202,108915.29871946858,5077.393770713304,10362.972351989742,0.0,0.0016459280485711073,0.0,4326.0149371667685,2854.6407959107005,2.3051209161647437e-05,9.637174733951248e-09,0.0
2020-07-12,97444.6158499191,108912.05524224186,1197.9772644764012,9744.461380906805,2920.9565173353244,0.0012414429705759,0.0,7100.922292444034,2851.3976263166414,2.3049410182100538e-05,9.636666718547305e-09,0.0
2020-07-13,110046.93462001713,108919.77980831265,9342.90549577657,8215.751966689872,6.597862154994507e-05,0.0013485964070140764,0.0,7100.920906356721,2859.121951903719,2.3049545592356642e-05,9.63671350772894e-09,0.0
2020-07-14,109416.07435153262,108919.77985323741,9027.499201138155,8531.205856795,0.00012934382766052694,0.001283295871648864,0.0,7100.919649309964,2859.122024241812,2.3046595059228654e-05,9.635792193351131e-09,0.0
2020-07-15,107245.31254533774,108919.7798817314,7942.20017088452,9616.668681244704,0.00012085547340326298,0.0012948219999219638,0.0,7100.918372014408,2859.122079761827,2.3043571149419192e-05,9.634869335242762e-09,0.0
2020-07-16,111809.92490317559,108919.7799584018,10224.333961290236,7334.190443721484,0.0,0.0014272050386823826,0.0,7100.916832363002,2859.122144651138,2.3063561890202338e-05,9.641027219699894e-09,0.0
2020-07-17,106128.62122373168,108919.7801471047,7383.896253404638,10175.056846149784,0.0,0.0016693721300755885,0.0,7100.914820750234,2859.122085183964,2.3096891463339112e-05,9.651121399238644e-09,0.0
2020-07-18,94403.79621562253,108910.30879827395,0.0,9440.380315163944,5066.13366196173,0.001394474256865993,0.0,11913.740301330741,2849.652004971086,2.3174288920325817e-05,9.67498527609807e-09,0.0
2020-07-19,94923.18209421966,108911.29447033624,0.0,9492.319046731132,4495.794751809887,0.0014224244410729493,0.0,16184.743787527079,2850.638044189688,2.3203621749791413e-05,9.683799078578115e-09,0.0
2020-07-20,113128.3795296216,108919.78066219587,10883.510784739658,6674.914127384298,0.0,0.0022100703619223603,0.0,16184.74070976117,2859.1220281591914,2.323438576383169e-05,9.693068889973593e-09,0.0
2020-07-21,120766.59042649661,108920.68927963909,14491.990940380672,2646.092111228541,0.0,0.0023177053921267774,0.0,16184.737474754878,2860.03048092164,2.3285344547559755e-05,9.708602927068642e-09,0.0
2020-07-22,122003.82910069957,108922.68053916746,14640.459591026874,1559.313320659063,0.0,0.0022911643091352205,0.0,16184.734290661716,2862.021748462477,2.3331617242502733e-05,9.722685490681601e-09,0.0
2020-07-23,122901.64173379666,108924.12548211959,14748.197166166769,770.6831494926023,0.0,0.002235002896130714,0.0,16184.73121106801,2863.4666450795203,2.3382305804179492e-05,9.73825143111552e-09,0.0
2020-07-24,109339.24425824324,108919.78028898811,8989.08648662856,8569.62439654743,0.0,0.0018791740054106244,0.0,16184.728780278152,2859.121932577963,2.3415424699569917e-05,9.748289940351037e-09,0.0
2020-07-25,101643.4518274553,108911.30939226827,3109.1054318411134,10164.344903531923,212.61923005932474,0.0011369371431799188,0.0,16386.71582264248,2850.651922952155,2.3456854230561016e-05,9.760901647051673e-09,0.0
2020-07-26,102898.84458481954,108913.44130114929,4275.287696315107,10289.88428784343,0.0014792277967956183,0.0013544263829448633,0.0,16386.715773296066,2852.7832097353953,2.351589825928645e-05,9.779102954130368e-09,0.0
2020-07-27,119908.02254596881,108919.77992874348,14273.07771051383,3284.8357695978257,0.0003561361740992976,0.0010324455010918992,0.0,16386.714996399496,2859.1220382045817,2.3550707121000554e-05,9.789494274371406e-09,0.0
2020-07-28,121097.45632796244,108921.21567757092,14531.694748646805,2351.490421997905,3.965255934538651,0.001579677172715646,0.0,16390.48029715644,2860.5578238656603,2.358945839428336e-05,9.801339785481268e-09,0.0
2020-07-29,130544.88674947101,114212.77535402257,15671.41417292518,0.0,0.0,1.9632201053922045,658.7340024178683,16386.092566998515,8143.619927488031,3288.9129349677564,0.015803618483756682,0.0
2020-07-30,145880.18560760416,120263.1471008692,17508.927500738882,0.0,0.0,7375.42304320108,732.6879627949963,8622.191070706367,14198.844231336669,9350.190265377261,0.04492879899942711,5464.428861118992
2020-07-31,153670.7894079748,126261.33256938047,18444.023168023723,0.0,0.0,8193.5694769014,771.8641936692012,-3.1291232261242077,20196.583561631956,15347.433448430786,0.07374627990300119,11462.168191414292
2020-08-01,124649.9444867398,109695.21961919946,14958.005508491931,0.0,3.2810247040393024,0.0003837524473417299,0.0,-0.012557225245519981,3634.5375688093372,2.354226775761185e-05,9.786948042491473e-09,0.0
2020-08-02,117139.09513813676,108919.78066023218,12887.649846640874,4347.799371775994,320.53736921065433,0.0013722503506060346,0.0,304.4964698807148,2859.1227887974283,2.35337094523656e-05,9.784324016846255e-09,0.0
2020-08-03,118483.10388431739,108919.78019843335,13560.324089863107,3859.88944847521,137.11234695867114,0.001391454816993391,0.0,434.751705608001,2859.1223233976407,2.348810313566896e-05,9.770423393569495e-09,0.0
2020-08-04,115970.6860007876,108919.78020508579,12304.553181355657,5189.284569372477,64.36421843408476,0.0014021527117268509,0.0,495.89620795787647,2859.1223304731266,2.344298763879561e-05,9.756637043304e-09,0.0
2020-08-05,104312.53891081695,108919.78079411545,6475.592801764038,10281.897400828806,800.9386864777789,0.0014022440435056036,0.0,1256.7864548373504,2859.122928653221,2.3397903822286348e-05,9.742912337289545e-09,0.0
2020-08-06,111511.05615029646,108919.78114811923,10075.634137662275,7449.402711657948,34.95784107031233,0.0014172432057531098,0.0,1289.994882778378,2859.1232733913516,2.3353079434967818e-05,9.729217640278318e-09,0.0
2020-08-07,120508.61840331832,108920.27189183306,14461.034256606561,2870.7987258763324,1.8904993616415307,0.0014801166651320923,0.0,1291.7892698980068,2859.6139418645425,2.3310914370759283e-05,9.716393452833553e-09,0.0
2020-08-08,110477.23937626528,108919.78319843618,9560.045857441854,7943.663872486858,58.927246058162,0.0014389322452868299,0.0,1347.7686097075862,2859.125319225498,2.326347572443571e-05,9.701931795707424e-09,0.0
2020-08-09,108681.91725360884,108919.78508472806,8663.688907686956,8787.279968804312,114.27822995881661,0.0014599569572783056,0.0,1456.3313620525546,2859.127200429334,2.3219052691082538e-05,9.68843202864227e-09,0.0
2020-08-10,118231.72266816907,108919.78768573457,13441.66148280601,1308.6324748189647,2821.09553620148,0.00151064892896163,0.0,4136.3705019023955,2859.1297746433565,2.3175696912453345e-05,9.675172104460015e-09,0.0
2020-08-11,127815.23376700107,109090.98327003828,15337.826374461829,0.001619738553217403,0.001483436636044627,3386.4272256761483,0.0,571.7116441167522,3030.326956312311,2.315089370803489e-05,9.667691798600793e-09,0.0
2020-08-12,124412.2098604432,109083.77669269583,14929.463499636784,0.0016259414286723456,0.0014878947885672044,398.9727819468009,0.0,151.7416786983088,3023.1203851719683,2.310615126860944e-05,9.654005680731513e-09,0.0
2020-08-13,119119.17621083198,108919.78762163482,13885.583284744645,3603.9295334681137,82.26667677007747,0.0015146906924291348,0.0,229.89339783010553,2859.1297086326003,2.306191021986281e-05,9.640498814982468e-09,0.0
2020-08-14,117297.2643632939,108919.78507975907,12971.617816226299,4551.327002524879,42.81299849488825,0.0014683283137443795,0.0,270.56417146860156,2859.1271893204644,2.3048290725724013e-05,9.636292954625072e-09,0.0
2020-08-15,109482.92440718549,108919.78361621633,9062.83631208184,8476.791476926184,22.905485359004057,0.0014411725060256796,0.0,292.32283624569675,2859.125741087264,2.304767331698094e-05,9.636103325534898e-09,0.0
2020-08-16,105620.74236962535,108919.78301526424,7131.13821680311,10409.146354250457,21.033938914215582,0.0014307226596865037,0.0,312.3035429120958,2859.125146388047,2.3047341716753328e-05,9.636045158228195e-09,0.0
2020-08-17,122236.450835026,108923.05453860102,14668.374143749517,1343.4518067863316,11.527529812776868,0.0014892745702253698,0.0,323.2530992956175,2862.3965944879615,2.304977976612952e-05,9.636850079128264e-09,0.0
2020-08-18,107766.56187482156,108919.78348748368,8204.454953981318,9341.253892481294,16.42411844306417,0.0014442809228339972,0.0,338.85446221885815,2859.125617135387,2.3047625356390794e-05,9.636122010025145e-09,0.0
2020-08-19,112785.58540037641,108919.78518606731,10714.725142630894,6822.332725702503,26.59366957892202,0.0014669596376898125,0.0,364.1168748038151,2859.127313888253,2.3048067247448794e-05,9.636269274460457e-09,0.0
2020-08-20,112724.61604115785,108919.78899478941,10685.735468009176,6217.749843810929,663.1600835068376,0.0015056770145931938,0.0,994.1173397729495,2859.1311252209603,2.3049513496680973e-05,9.636683317517143e-09,0.0
2020-08-21,125033.51472518116,109085.08522320597,15004.020088547262,0.0016205019794134164,0.001418105563059196,944.4124520354724,0.0,0.00028679001528455887,3024.428885520337,2.307410804132121e-05,9.644349734070404e-09,0.0
2020-08-22,113448.92532952974,108919.77966205066,11046.940565934283,6474.519531477133,43.27674652680569,0.0013795487309481245,0.0,41.11171472460766,2859.121731386925,2.3048285255472777e-05,9.636339639806029e-09,0.0
2020-08-23,104924.37636476872,108919.7817124165,6783.016031679275,10418.620263113502,359.8025026748264,0.0013864612643358877,0.0,382.92260365474107,2859.123821881449,2.3048006674297532e-05,9.636209552876803e-09,0.0
2020-08-24,111926.21812434826,108919.78203631517,10284.3825325953,7257.166819474038,20.781040518363465,0.0014154301881999518,0.0,402.6630729956611,2859.124146165177,2.304765781180199e-05,9.636140274932139e-09,0.0
2020-08-25,116635.26548798257,108919.78314140161,12639.703868779206,4877.159046097004,47.06391745686188,0.0014413556202192144,0.0,447.3722480938007,2859.1252494345763,2.3047689904092e-05,9.636191522485336e-09,0.0
2020-08-26,114935.43665417205,108919.78487614081,11791.479808713137,5705.0397392952245,70.7897666533823,0.001475266715967276,0.0,514.6209441731232,2859.1269779117524,2.3048519032193462e-05,9.636391372389393e-09,0.0
2020-08-27,114562.31088519467,108919.78710799647,11608.36780472443,5833.153052375299,132.69251080784602,0.0015356569144175602,0.0,640.6771835399302,2859.129186157608,2.3049850535499607e-05,9.63683274211475e-09,0.0
2020-08-28,124651.052117669,109084.2867597017,14958.124528631615,0.0016676761052741474,0.001502868416593519,608.6439998802005,0.0,0.000687093941078214,3023.6304909868613,2.3070722586040395e-05,9.643232166124597e-09,0.0
